x,y,lonlat,perimeter,diameter,localidad,f.use
546608,4757361,42.967476826161146 -2.428478244692087,,36,113,rec_esta
546616,4757355,42.96742024831474 -2.428374392911792,,37.1,114,rec_esta
546629,4757384,42.967684948816895 -2.428223015740514,,28.5,115,rec_esta
546629,4757408,42.96789566986263 -2.428214382380247,,26,116,rec_esta
546608,4757428,42.96807948499918 -2.4284725449979305,,35,117,rec_esta
546635,4757446,42.968239495530725 -2.4281435552984476,,33,118,rec_esta
546605,4757450,42.96827360987663 -2.428508000448346,,24,119,rec_esta
546609,4757511,42.96882870141417 -2.428448824211955,,33,120,rec_esta
550319,4758095,42.97385017387569 -2.3829115368425846,,72.7,121,pollard_no_prun
550340,4758040,42.97335036098957 -2.38265136256814,,78,122,pollard_no_prun
550300,4758052,42.973461295478046 -2.383145894855261,,69,123,pollard_no_prun
550308,4758078,42.973696324042976 -2.383045731112361,,71,124,pollard_no_prun
550304,4758097,42.973869452252984 -2.383088143542409,,91,125,pollard_no_prun
550270,4758113,42.974017350934446 -2.3835022933781147,,66,126,pollard_no_prun
550257,4758134,42.97420242335647 -2.383665991947055,,69.5,127,pollard_no_prun
550372,4758095,42.97384510282427 -2.3822632804512978,,56.5,128,pollard_no_prun
550366,4758149,42.97433196566999 -2.3823322635143995,,72,129,pollard_no_prun
550306,4758163,42.97446301672608 -2.3830572981387377,,61,130,pollard_no_prun
550305,4758152,42.97436008695513 -2.3830717150121927,,72.5,131,pollard_no_prun
550314,4758145,42.97429986298084 -2.3829598166048527,,60.7,132,pollard_no_prun
550392,4758213,42.974908095784485 -2.3819977417588234,,76.5,133,pollard_no_prun
550432,4758227,42.97502883709967 -2.3815135192126036,,84,134,pollard_no_prun
550456,4758251,42.97524286899716 -2.381218560039997,,92,135,pollard_no_prun
550433,4758256,42.97528695780784 -2.3814914748072624,,91.5,136,pollard_no_prun
550458,4758223,42.97498990315944 -2.3811909835785627,,110,137,pollard_no_prun
550472,4758269,42.97540531028062 -2.381021333858371,,90,138,pollard_no_prun
550443,4758232,42.97507183626294 -2.3813813365995884,,44,139,pollard_no_prun
550424,4758208,42.97485910356045 -2.3816066421568394,,66.5,140,pollard_no_prun
550210,4756980,42.96381288673729 -2.3843432497233152,,26.3,141,rec_esta
550197,4756925,42.96332044992596 -2.3845149949193,,33.5,142,rec_esta
550209,4756952,42.963564111851156 -2.3843608517199755,,31,143,rec_esta
550210,4756918,42.96325829811394 -2.3843507934361696,,21,144,rec_esta
550231,4756907,42.963158008642495 -2.3840966541320086,,44.5,145,rec_esta
550243,4756918,42.96325842384249 -2.3839461989700794,,25.5,146,rec_esta
550267,4756915,42.96322384849191 -2.3836515750736,,28,147,rec_esta
550271,4756922,42.963292370550334 -2.3836051393300295,,25.9,148,rec_esta
550264,4756895,42.963045900687575 -2.3836914729326963,,32,149,rec_esta
